Metadata_broad_sample,Metadata_pert_iname,Metadata_pert_iname2,Metadata_moa,Metadata_target
BRD-K31843556-001-01-7,T-0070907,BRD-K31843556,PPAR receptor anatagonist|PPAR receptor antagonist,PPARG
BRD-K31912990-003-01-0,CGP-71683,BRD-K31912990,neuropeptide receptor antagonist,NPY5R
BRD-K32501161-001-01-7,vanoxerine,vanoxerine,dopamine uptake inhibitor,SLC6A3
BRD-K32584078-001-02-3,NA,BML-257,AKT inhibitor|HCV NS5B RdRp inhibitor,AKT1
BRD-K32645441-001-01-4,NA,"N,N-Dipropyl-5-carboxamidotryptamine maleate",serotonin receptor agonist,"HTR1B, HTR1D, HTR1F, HTR7"
BRD-K32744045-001-04-9,disulfiram,disulfiram,aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist,"ALDH2, DBH"
BRD-K32821942-001-04-9,azathioprine,azathioprine,dehydrogenase inhibitor,"HPRT1, IMPDH1, PPAT"
BRD-K32828673-001-01-5,NA,chelidonine,tubulin polymerization inhibitor,NA
BRD-K32830106-003-11-3,guanfacine,guanfacine,adrenergic receptor agonist,"ADRA2A, ADRA2B, ADRA2C"
BRD-K33211335-337-03-7,dextromethorphan,dextromethorphan,glutamate receptor antagonist|sigma receptor agonist,"CHRNA2, CHRNA3, CHRNA4, CHRNA7, CHRNB2, CHRNB4, CYBA, CYBB, GRIN3A, NCF1, NCF2, NCF4, OPRD1, OPRK1, OPRM1, PGRMC1, RAC1, RAC2, SIGMAR1, SLC6A2, SLC6A4"
BRD-K33308633-001-01-6,INCA-6,INCA-6,calcineurin inhibitor,NFATC1
BRD-K33459542-001-02-5,ditolylguanidine,BRD-K33459542,sigma receptor agonist,"GRIN1, GRIN2A, GRIN2B, SIGMAR1"
BRD-K33583600-001-03-9,isoliquiritigenin,isoliquiritigenin,guanylate cyclase activator,GABBR1
BRD-K33710385-001-05-4,ethionamide,ethionamide,mycolic synthesis inhibitor,
BRD-K33818169-003-01-2,GW-3965,BRD-K33818169,LXR agonist|ABC transporter expression enhancer,"NR1H2, NR1H3, ABCA1"
BRD-K33882852-003-01-0,ZK-93423,BRD-K33882852,benzodiazepine receptor agonist,"GABRA1, GABRA2, GABRA3, GABRA5, GABRB2"
BRD-K34034388-300-01-0,GBR-12783,BRD-K34034388,dopamine uptake inhibitor,NA
BRD-K34092021-001-02-3,NA,arvanil,TRPV agonist|cannabinoid receptor agonist,"CNR1, TRPV1"
BRD-K34415467-003-04-9,trimethobenzamide,trimethobenzamide,histamine receptor antagonist,DRD2
BRD-K34568562-001-02-7,tilorone,tilorone,interferon inducer,
BRD-K34685430-001-01-1,methylergometrine,methylergometrine,dopamine receptor antagonist|serotonin receptor antagonist,"DRD1, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C"
BRD-K34995470-001-02-3,NA,SU1498,receptor tyrosine protein kinase inhibitor|vascular endothelial growth factor receptor 2 (VEGFR2) inhibitor|VEGFR inhibitor,"ERBB2, KDR"
BRD-K35240538-001-03-1,methylprednisolone,methylprednisolone,glucocorticoid receptor agonist,NR3C1
BRD-K35708212-331-03-1,ouabain,ouabain,ATPase inhibitor,ATP1A1
BRD-K35960502-001-04-4,niclosamide,niclosamide,DNA replication inhibitor|STAT inhibitor,STAT3
BRD-K36007650-300-02-3,puromycin,puromycin,protein synthesis inhibitor,"NHP2L1, RPL10L, RPL11, RPL13A, RPL15, RPL19, RPL23, RPL23A, RPL26L1, RPL3, RPL37, RPL8, RSL24D1"
BRD-K36021395-300-01-6,ABT-702,ABT-702,adenosine kinase inhibitor,ADK
BRD-K36055864-001-04-4,NA,cicloheximide,protein synthesis inhibitor,NA
BRD-K36116267-001-05-4,pyrithyldione,pyrithyldione,psychoactive drug,
BRD-K36198571-001-01-2,WAY-170523,BRD-K36198571,metalloproteinase inhibitor,MMP13
BRD-K36258877-001-01-5,AZ-10417808,BRD-K36258877,caspase inhibitor,CASP3
BRD-K36377456-001-02-0,NA,marmesin,angiogenesis inhibitor,NA
BRD-K36395411-003-01-4,SB-206553,BRD-K36395411,serotonin receptor antagonist|serotonin receptor partial agonist,"HTR2B, HTR2C, HTR1A, HTR2A"
BRD-K36638830-001-02-2,anabasine,anabasine,acetylcholine receptor agonist,
BRD-K36756879-003-04-6,ethaverine,ethaverine,calcium channel blocker,
BRD-K36862742-001-04-1,hydroflumethiazide,hydroflumethiazide,sodium/potassium/chloride transporter inhibitor,"ATP1A1, CA1, CA12, CA2, CA4, CA9, KCNMA1, SLC12A1, SLC12A3"
BRD-K36965586-001-01-7,m-Chlorophenylbiguanide,m-chlorophenylbiguanide,serotonin receptor agonist,"HTR3A, HTR3B"
BRD-K37249724-001-04-2,astemizole,astemizole,histamine receptor antagonist,"HRH1, KCNH1, KCNH2"
BRD-K37270826-001-03-7,mifepristone,mifepristone,glucocorticoid receptor antagonist|progesterone receptor antagonist,"AR, NR1I2, NR3C1, PGR"
BRD-K37312348-001-05-1,kenpaullone,kenpaullone,CDK inhibitor|glycogen synthase kinase inhibitor,"CCNB1, CDK1, CDK5, GSK3B"
BRD-K37392901-003-01-7,NSC-632839,BRD-K37392901,ubiquitin hydrolase inhibitor|ubiquitin isopeptidase inhibitor,"USP2, USP7, SENP2, USP1"
BRD-K37561857-001-04-9,zardaverine,zardaverine,phosphodiesterase inhibitor,PDE4D
BRD-K37618799-001-01-4,MRS-1220,BRD-K37618799,adenosine receptor antagonist,"ADORA2B, ADORA3"
BRD-K37682401-001-05-1,piromidic-acid,piromidic acid,bacterial DNA gyrase inhibitor,
BRD-K37688416-003-04-0,fipexide,fipexide,psychoactive drug,
BRD-K37691127-001-02-2,NA,hinokitiol,tyrosinase inhibitor,TYR
BRD-K37798499-001-02-5,etoposide,etoposide,topoisomerase inhibitor,"TOP2A, TOP2B"
BRD-K37848908-001-03-1,ceforanide,ceforanide,penicillin binding protein inhibitor,
BRD-K37865504-001-01-7,LY2183240,LY-2183240,FAAH inhibitor|FAAH reuptake inhibitor,FAAH
BRD-K37991163-050-05-1,paroxetine,paroxetine,selective serotonin reuptake inhibitor (SSRI),"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HTR2A, SLC6A2, SLC6A4"
BRD-K38003476-001-03-4,clocortolone-pivalate,clocortolone pivalate,steroid,"NR3C1, PLA2G1B"
BRD-K38055836-001-03-9,NA,etamivan,respiratory stimulant,NA
BRD-K38197229-001-06-7,bumetanide,bumetanide,solute carrier family member inhibitor,"CFTR, GPR35, SLC12A1, SLC12A2, SLC12A4, SLC12A5"
BRD-K38251852-001-02-5,NA,paxilline,ABC transporter expression enhancer|high conductance calcium activated potassium blocker|LXR agonist|potassium channel blocker,"ABCA1, KCNMA1, NR1H3"
BRD-K38305202-001-01-8,domperidone,domperidone,dopamine receptor antagonist,"DRD2, DRD3"
BRD-K38323065-001-05-8,phenacetin,phenacetin,cyclooxygenase inhibitor,PTGS1
BRD-K38347298-001-02-3,NA,8-CYCLOPENTYLTHEOPHYLLINE,adenosine receptor antagonist,NA
BRD-K38436528-003-04-8,imipramine,imipramine,norepinephrine reputake inhibitor|serotonin reuptake inhibitor,"ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD5, HRH1, HTR1A, HTR2A, HTR2C, HTR6, HTR7, KCND2, KCND3, KCNH1, KCNH2, SLC6A2, SLC6A3, SLC6A4"
BRD-K38449220-001-03-8,NA,seneciphylline,cytochrome P450 inhibitor,NA
BRD-K38477985-001-01-8,malonoben,BRD-K38477985,protein tyrosine kinase inhibitor|tyrosine kinase inhibitor,EGFR
BRD-K38684403-001-02-1,roxithromycin,roxithromycin,bacterial 50S ribosomal subunit inhibitor,"ABCB1, MLNR"
BRD-K38775274-001-02-3,dexamethasone,dexamethasone,glucocorticoid receptor agonist,"ANXA1, NOS2, NR0B1, NR3C1, NR3C2"
BRD-K38903228-001-02-8,hesperidin,hesperidin,flavanone glycoside,CACNA1B
BRD-K39120595-304-02-1,bithionol,bithionol,autotaxin inhibitor,"ESR1, ESR2, MCL1"
BRD-K39187410-001-01-7,NA,"R(-)-2,10,11-trihydroxyaporphine",antiamyloidogenic agent,NA
BRD-K39188321-001-03-9,betamethasone,betamethasone,glucocorticoid receptor agonist,NR3C1
BRD-K39339537-001-03-8,epirizole,epirizole,cyclooxygenase inhibitor,"PTGS1, PTGS2"
BRD-K39356024-001-02-4,NA,pregnenolone-16(alpha)-carbonitrile,acetylcholine release enhancer|dopamine release enhancer|GABA receptor negative allosteric modulator|glutamate receptor modulator|progesterone receptor agonist|steroid hormone inhibitor of CYP17A1 and SULT2B1,"CYP17A1, PGR, SULT2B1"
BRD-K39484304-001-02-5,triptolide,triptolide,RNA polymerase inhibitor,RELA
BRD-K39670393-303-01-3,amthamine,BRD-K39670393,histamine receptor agonist,HRH2
BRD-K39733634-001-01-8,L-161982,BRD-K39733634,prostanoid receptor antagonist|angiotensin receptor antagonist,PTGER4
BRD-K39746403-084-02-3,NA,erythromycin propionate,NFkB pathway inhibitor|50S ribosomal subunit inhibitor|motilin receptor agonist|RPLV inhibitor,"CYP3A4, MLNR"
BRD-K39915878-036-04-6,loxapine,loxapine,dopamine receptor antagonist|serotonin receptor antagonist,"ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, ADRB1, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HRH2, HRH4, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A, HTR2C, HTR3A, HTR5A, HTR6, HTR7, SLC6A2, SLC6A3, SLC6A4"
BRD-K39965020-001-02-6,doconexent,doconexent,PPAR receptor agonist,"FFAR1, PTGS1, PTGS2"
BRD-K39987650-001-04-3,bisacodyl,bisacodyl,laxative,
BRD-K40255344-001-05-1,tyrphostin-A9,tyrphostin A9,protein tyrosine kinase inhibitor|tyrosine kinase inhibitor,
BRD-K40530731-001-02-5,NA,L-hyoscyamine,acetylcholine receptor inhibitor,"CHRM1, CHRM2, CHRM3, CHRM4"
BRD-K40578143-001-01-8,GR-79236,BRD-K40578143,adenosine receptor agonist,"ADORA1, ADORA2A"
BRD-K40656405-001-01-5,L-165041,BRD-K40656405,PPAR receptor agonist,PPARD
BRD-K40742111-001-02-6,NA,baeomycesic acid,lipoxygenase inhibitor,NA
BRD-K40782193-003-01-1,QX-222,BRD-K40782193,sodium channel blocker,NA
BRD-K40887525-001-02-9,ritanserin,ritanserin,serotonin receptor antagonist,"ADRA1A, ADRA1B, ADRA1D, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, HTR5A, HTR6, HTR7"
BRD-K40901640-001-01-0,cinanserin,CINANSERIN,serotonin receptor antagonist,HTR2A
BRD-K40905133-001-02-3,phenacemide,phenacemide,sodium channel blocker,"SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A"
BRD-K40990712-001-02-4,NA,hexamethyleneamiloride,gonadotropin releasing factor hormone receptor antagonist|sodium/hydrogen antiport inhibitor|sodium/hydrogen exchanger inhibitor|urokinase inhibitor,"GNRHR, ADRA2A, GNRH1, PLAU, SLC9A1"
BRD-K41143549-003-01-6,NA,BRD-K41143549,glutamate receptor antagonist,NA
BRD-K41337261-001-01-4,ZM-306416,BRD-K41337261,Src and Abl inhibitor|vascular endothelial growth factor receptor 1 (VEGFR1) inhibitor,"FLT1, KDR, EGFR, FLT4"
BRD-K41406082-001-04-8,sulfapyridine,sulfapyridine,PABA antagonist,
BRD-K41524689-001-05-2,paracetamol,paracetamol,cyclooxygenase inhibitor,"FAAH, PTGS1, PTGS2, TRPV1"
BRD-K41564320-001-01-2,purvalanol-b,BRD-K41564320,tyrosine kinase inhibitor,"CDK2, CDK4, MAPK1, MAPK3, CDK5, SRPK2"
BRD-K41567364-001-01-2,SB-334867,BRD-K41567364,orexin receptor antagonist,"HCRTR1, HCRTR2"
BRD-K41713976-001-02-0,E-4031,E-4031,potassium channel blocker,"KCNH1, KCNH2"
BRD-K41868777-003-02-9,NA,W-5,calmodulin antagonist,NA
BRD-K41876534-001-02-0,tioxolone,tioxolone,carbonic anhydrase inhibitor,CA2
BRD-K42095107-001-02-3,daidzein,daidzein,estrogen receptor agonist,"ESRRA, ESRRB, ESRRG, TRPC5"
BRD-K42098891-003-03-1,protriptyline,protriptyline,tricyclic antidepressant,"SLC6A2, SLC6A4"
BRD-K42221274-001-01-4,NA,NO 711,GAT inhibitor,"SLC6A1, SIGMAR1"
BRD-K42348709-003-04-0,cyclobenzaprine,cyclobenzaprine,adrenergic receptor agonist|serotonin receptor agonist,HTR2A
BRD-K42452249-001-01-7,EO-1428,BRD-K42452249,p38 MAPK inhibitor,"MAPK11, MAPK14"
BRD-K42500029-001-01-9,CGP-57380,BRD-K42500029,"MAP kinase inhibitor|MAPK-interacting kinase inhibitor,","AURKB, LCK, MKNK1, MKNK2, SGK1"
BRD-K42635745-001-02-4,suloctidil,suloctidil,adrenergic receptor antagonist,
BRD-K42679050-001-01-3,Y-27152,BRD-K42679050,potassium channel activator|potassium channel agonist,"ABCC9, KCNJ8"
BRD-K42748308-300-01-2,XE-991,BRD-K42748308,acetylcholine release enhancer|potassium channel blocker|voltage-gated potassium channel blocker,"KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5"
BRD-K43068349-001-01-9,AMG-9810,BRD-K43068349,TRPV antagonist,TRPV1
BRD-K43245338-001-02-4,NA,MDL-28170,calpain inhibitor|cathepsin inhibitor,"CAPN1, CTSB, CTSL"
BRD-K43330982-001-01-5,"S1PR2, P2RY10",BRD-K43330982,lysophospholipid receptor antagonist,NA
BRD-K43389675-003-02-7,daunorubicin,daunorubicin,RNA synthesis inhibitor|topoisomerase inhibitor,"TOP2A, TOP2B"
BRD-K43405658-001-01-8,NA,tyrphostin AG 527,protein tyrosine kinase inhibitor,EGFR
BRD-K43457670-001-04-7,acetazolamide,acetazolamide,carbonic anhydrase inhibitor,"AQP1, CA1, CA12, CA14, CA2, CA3, CA4, CA7"
BRD-K43736954-001-03-3,cortisone,cortisone,glucocorticoid receptor agonist,NR3C1
BRD-K43744935-048-01-6,tamoxifen,BRD-K43744935,estrogen receptor antagonist|selective estrogen receptor modulator (SERM)|estrogen receptor agonist|estrogen receptor modulator|PKC inhibitor,"ESR1, ESR2, CYP3A5, EBP, GPER1, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PRKCI, PRKCQ, PRKCZ"
BRD-K43796186-001-01-1,benzyl-quinazolin-4-yl-amine,BRD-K43796186,EGFR inhibitor,EGFR
BRD-K43797669-001-02-3,genistein,genistein,tyrosine kinase inhibitor,"CFTR, ESR1, ESR2, ESRRA, ESRRB, ESRRG, NCOA1, NCOA2, PPARG, PTK2B, TOP2A, TRPC5"
BRD-K43860855-065-03-6,iobenguane,iobenguane,antineoplastic agent,
BRD-K44067360-001-06-3,flufenamic-acid,flufenamic acid,chloride channel blocker,"AKR1C3, ANO1, AR, GJA1, GJA10, GJA3, GJA4, GJA5, GJA8, GJA9, GJB1, GJB2, GJB3, GJB4, GJB5, GJB6, GJB7, GJC1, GJC2, GJC3, GJD2, GJD3, GJD4, GJE1, PANX1, PANX2, PANX3, PKD2L1, PTGS1, PTGS2, TRPC5, TRPM2, TRPM5"
BRD-K44084986-001-03-9,Y-27632,Y27632,rho associated kinase inhibitor,"PKIA, PKN2, PRKACA, PRKCE, ROCK1, ROCK2"
BRD-K44849676-001-03-0,capsazepine,capsazepine,TRPV agonist,"TRPV1, TRPV4"
BRD-K45117373-001-01-1,Y-26763,BRD-K45117373,potassium channel activator|potassium channel agonist,"ABCC9, KCNJ8"
BRD-K45158365-001-02-3,valsartan,valsartan,angiotensin receptor antagonist,AGTR1
BRD-K45330754-001-04-3,diethylstilbestrol,diethylstilbestrol,estrogen receptor agonist,"ESR1, ESR2, ESRRB, ESRRG"
BRD-K45662124-001-01-8,3'-fluorobenzylspiperone,3'-FLUOROBENZYLSPIPERONE,dopamine receptor ligand,DRD2
BRD-K45988865-001-01-0,NA,BRD-K45988865,organosilicon compound used as an internal standard in NMR spectroscopy,NA
BRD-K46137903-001-03-3,prednicarbate,prednicarbate,phospholipase activator,"NR3C1, PLA2G1B"
BRD-K46142322-003-01-6,RS-67333,RS 67333,serotonin receptor partial agonist,HTR4
BRD-K46441700-001-01-8,NA,GR 55562,serotonin receptor antagonist,"HTR1B, HTR1D"
BRD-K46469693-001-01-8,SCH-442416,BRD-K46469693,adenosine receptor antagonist,"ADORA1, ADORA2A, ADORA2B, ADORA3"
BRD-K46678324-001-03-7,NA,RHO-kinase inhibitor II,rho associated kinase inhibitor,NA
BRD-K46862739-001-03-6,metyrapone,metyrapone,cytochrome P450 inhibitor,CYP11B1
BRD-K47105409-001-05-3,NA,tyrphostin B42,JAK inhibitor,NA
BRD-K47150025-001-01-2,KI-8751,BRD-K47150025,PDGFR alpha and c-Kit inhibitor|vascular endothelial growth factor receptor 2 (VEGFR2) inhibitor|VEGFR inhibitor,KDR
BRD-K47328134-001-02-0,lysylphenylalanyl-tyrosine,BRD-K47328134,heparin activation inhibitor,NA
BRD-K47598052-001-04-2,PP-1,PP1,src inhibitor,"HCK, RET"
BRD-K47608922-001-02-1,dipyrocetyl,dipyrocetyl,chelating agent,
BRD-K47635719-001-03-9,dexamethasone-acetate,dexamethasone acetate,glucocorticoid receptor agonist,
BRD-K47659338-003-01-0,EMD-386088,BRD-K47659338,serotonin receptor agonist,HTR6
BRD-K47869605-001-04-9,podophyllotoxin,podophyllotoxin,microtubule inhibitor|tubulin polymerization inhibitor,"IGF1R, TOP2A, TUBA4A, TUBB"
BRD-K47936004-001-01-9,piribedil,piribedil,dopamine receptor agonist,"ADRA1A, ADRA2A, ADRA2C, DRD2, DRD3, DRD4, HTR1A, HTR2B"
BRD-K48722258-300-04-5,dilazep,dilazep,adenosine reuptake inhibitor,SLC29A1
BRD-K48735772-001-01-4,PD-158780,BRD-K48735772,EGFR inhibitor|epidermal growth factor receptor (EGFR) inhibitor,EGFR
BRD-K49049886-001-03-8,CGS-15943,BRD-K49049886,adenosine receptor antagonist,"ADORA1, ADORA2A, ADORA2B, ADORA3"
BRD-K49061529-001-01-0,NA,ETHYL-beta-CARBOLINE-3-CARBOXYLATE,GABA benzodiazepine site receptor inverse agonist,"GABRA1, GABRG2"
BRD-K49294207-300-01-2,BIBU-1361,BRD-K49294207,EGFR inhibitor,EGFR
BRD-K49577446-001-03-1,flunisolide,flunisolide,cytochrome P450 inhibitor,NR3C1
BRD-K49657628-001-02-3,tyrphostin-AG-18,tyrphostin AG 18,EGFR inhibitor|tyrosine kinase inhibitor,EGFR
BRD-K50135270-001-01-9,GBR-12935,GBR 12935,dopamine uptake inhibitor,"AGTR1, SLC6A3"
BRD-K50325075-001-01-3,UCL-2077,BRD-K50325075,potassium channel blocker|slow afterhyperpolarization channel blocker,NA
BRD-K50388907-001-04-9,fenofibrate,fenofibrate,PPAR receptor agonist,"MMP25, PPARA"
BRD-K50464341-001-02-6,NA,E6 berbamine,calmodulin antagonist,CALM1
BRD-K50495309-001-01-2,SRC-kinase-inhibitor-I,Src kinase inhibitor I,src inhibitor,"CSK, LCK, RIPK2"
BRD-K50836978-001-01-7,purvalanol-a,purvalanol A,CDK inhibitor,"CDK1, CDK2, CDK4, CDK5, CSNK1G3, RPS6KA1, SRC"
BRD-K50841342-001-01-6,PAC-1,BRD-K50841342,caspase activator,CASP3
BRD-K50859149-001-04-7,sulfafurazole,sulfafurazole,bacterial antifolate,
BRD-K50891186-001-01-0,GR-103691,GR 103691,dopamine receptor antagonist,DRD3
BRD-K51276371-001-01-8,NA,aloisine,CDK inhibitor|CFTR channel activator|glycogen synthase kinase inhibitor|JNK inhibitor,"CDK2, CDK5, CDK1, CDK5R1, CFTR, PTK2B, ZAP70"
BRD-K51318897-001-04-7,fenbendazole,fenbendazole,tubulin polymerization inhibitor,TUBB
BRD-K51465424-003-03-6,ritodrine,ritodrine,adrenergic receptor agonist,ADRB2
BRD-K51476772-001-01-9,NA,ST638,tyrosine kinase inhibitor,NA
BRD-K51575138-001-01-7,TPCA-1,BRD-K51575138,IKK inhibitor,IKBKB
BRD-K51751936-001-03-4,alfadolone-acetate,alfadolone acetate,benzodiazepine receptor agonist,
BRD-K51918615-303-01-1,iodophenpropit,BRD-K51918615,histamine receptor antagonist|histamine receptor inhibitor|ionotropic glutamate receptor antagonist,"HRH3, HRH4, GRIN2B"
BRD-K52075040-001-02-2,cerulenin,cerulenin,fatty acid synthase inhibitor,FASN
BRD-K52313696-001-01-6,tacedinaline,tacedinaline,HDAC inhibitor,HDAC1
BRD-K52394958-001-01-9,GR-159897,BRD-K52394958,tachykinin antagonist,"TACR2, TAC1"
BRD-K52397688-001-01-9,amperozide,BRD-K52397688,dopamine receptor antagonist|FAAH inhibitor|serotonin receptor antagonist,"HTR2A, DRD2, FAAH"
BRD-K52620403-001-01-8,NA,STO 609,calcium/calmodulin dependent protein kinase inhibitor|calmodulin inhibitor,"CAMKK1, CAMKK2"
BRD-K52662033-001-02-6,lidocaine,lidocaine,histamine receptor agonist,"EGFR, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A"
BRD-K52721684-001-02-2,PCO-400,PCO-400,potassium channel activator,KCNJ8
BRD-K52850071-001-01-2,WHI-P154,WHI-P154,JAK inhibitor,"EGFR, JAK1, JAK2, JAK3"
BRD-K52989797-001-01-1,clomipramine,clomipramine,serotonin transporter (SERT) inhibitor,"GSTP1, HTR2A, HTR2B, HTR2C, SLC6A2, SLC6A3, SLC6A4"
BRD-K53263234-001-02-9,CITCO,CITCO,constitutive androstane receptor (CAR) agonist,NR1I3
BRD-K53523901-001-01-0,arctigenin,BRD-K53523901,adiponectin receptor agonist|AP inhibitor|aryl hydrocarbon receptor antagonist|HIV integrase inhibitor|MEK inhibitor|NFkB pathway inhibitor|topoisomerase inhibitor,"ADIPOR1, AHR, CHUK, MAP2K1"
BRD-K53878242-001-02-4,MMPX,BRD-K53878242,phosphodiesterase inhibitor,NA
BRD-K53979406-003-01-0,ALX-5407,BRD-K53979406,glycine transporter inhibitor|GlyT-1 inhibitor,SLC6A9
BRD-K54094468-001-01-6,remoxipride,remoxipride,dopamine receptor antagonist,"DRD2, DRD3, DRD4, HTR2A, SIGMAR1"
BRD-K54095730-001-01-5,CMPD-1,BRD-K54095730,p38 MAPK inhibitor,"GNRHR, MAPK14"
BRD-K54210043-001-02-0,NA,NS-1619,calcium channel activator|large conductance potassium channel activator,"KCNMA1, KCNT1, KCNT2, KCNU1"
BRD-K54233340-300-01-0,dorsomorphin,BRD-K54233340,AMPK inhibitor|DNA damaging|TGF beta receptor inhibitor,"ACVR1, BMPR1A, BMPR1B, EPHA2, FKBP1A, FLT1, FLT3, KDR, LCK, MKNK1, PRKAA1, RPS6KA1, SRC"
BRD-K54330070-001-05-5,SB-202190,SB-202190,p38 MAPK inhibitor,"AKT1, ALOX5, CHEK1, GSK3B, LCK, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PRKCA, ROCK1, RPS6KB1, SGK1"
BRD-K54411430-001-02-5,NA,robustic acid,cAMP inhibitor,NA
BRD-K54704028-001-01-3,BAY-36-7620,BRD-K54704028,glutamate receptor antagonist,GRM1
BRD-K55034111-066-02-3,pefloxacin,pefloxacin,bacterial DNA gyrase inhibitor,TOP2A
BRD-K55454768-001-01-8,NA,TAS 301,voltage-independent calcium influx blocker,CAMK2A
BRD-K55468218-001-04-8,spiperone,spiperone,dopamine receptor antagonist,"ADRA1A, ADRA1B, ADRA1D, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1D, HTR2A, HTR2B, HTR2C, HTR6, HTR7"
BRD-K55529781-236-02-0,furegrelate,furegrelate,thromboxane synthase inhibitor,TBXAS1
BRD-K55567017-001-02-4,formononetin,formononetin,alcohol dehydrogenase inhibitor,"ADH1C, SLC5A2"
BRD-K55677650-003-01-1,CO-101244,BRD-K55677650,ionotropic glutamate receptor antagonist,GRIN2B
BRD-K55748775-001-01-4,SCH-28080,BRD-K55748775,ATPase inhibitor|potassium-competitive acid antagonist,ATP4A
BRD-K56064827-001-04-7,NA,HHBPDDE,PKC inhibitor,"PRKCA, PRKCG"
BRD-K56429665-001-03-9,calcipotriol,BRD-K56429665,vitamin D receptor agonist,VDR
BRD-K56699285-001-03-7,metergoline,metergoline,dopamine receptor agonist|serotonin receptor antagonist,"HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR5A, HTR6, HTR7"
BRD-K57222227-001-06-1,NA,indometacin,cyclooxygenase inhibitor,"PTGS1, PTGS2, PPARG, PTGDR2, GLO1, PLA2G2"
BRD-K57545991-050-03-3,enalapril,enalapril,angiotensin converting enzyme inhibitor,ACE
BRD-K57886322-001-03-4,fluocinonide,fluocinonide,glucocorticoid receptor agonist,"NR3C1, SERPINA6, SMO"
BRD-K58220566-001-02-2,NA,TMB 8,PKC inhibitor|sodium channel blocker|calcium channel blocker,NA
BRD-K58265391-001-03-6,meticrane,meticrane,diuretic,
BRD-K58299615-001-02-7,RO-90-7501,BRD-K58299615,amyloid precursor protein inhibitor|beta amyloid aggregation inhibitor,APP
BRD-K58466253-003-04-1,NA,palmatine,serotonin release inhibitor,NA
BRD-K58685305-001-02-2,emodin,emodin,11-beta hydroxysteroid dehydrogenase inhibitor,CSNK2A1
BRD-K58930050-001-01-1,NA,dicozilpine,glutamate receptor antagonist,NA
BRD-K58938839-001-03-8,NA,cyclopamine,smoothened receptor antagonist|hedgehog pathway inhibitor,"SMO, DHH, IHH, PTCH1"
BRD-K59037100-001-04-8,oxybenzone,oxybenzone,lipase inhibitor,LIPE
BRD-K59058766-003-03-7,chlorprothixene,chlorprothixene,dopamine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, HRH1, HTR2A, HTR2B, HTR2C"
BRD-K59184148-001-04-2,SB-216763,BRD-K59184148,glycogen synthase kinase inhibitor,"GSK3B, CCNA2, CDK2, GSK3A"
BRD-K59273480-001-01-5,propentofylline,propentofylline,adenosine reuptake inhibitor|phosphodiesterase inhibitor,PDE1A
BRD-K59331372-001-01-2,SB-366791,BRD-K59331372,TRPV antagonist,TRPV1
BRD-K59332007-300-01-9,linopirdine,BRD-K59332007,acetylcholine release enhancer|acetylcholine release stimulant|neurotransmitter agonist|voltage-gated potassium channel blocker,"KCNQ2, KCNQ3, KCNQ4, KCNQ5"
BRD-K59419204-001-01-9,AM-281,BRD-K59419204,cannabinoid receptor antagonist|cannabinoid receptor inhibitor,"CNR1, CNR2, GPR55"
BRD-K59522102-001-04-7,piperine,PIPERINE,monoamine oxidase inhibitor,"MAOA, MAOB, TRPV1"
BRD-K59574735-001-02-7,ubenimex,ubenimex,leukotriene synthesis inhibitor,"LTA4H, RNPEP"
BRD-K59637651-001-01-4,NSC-119889,BRD-K59637651,protein synthesis inhibitor|botulin neurotoxin inhibitor|mur synthetase inhibitor,NA
BRD-K59650319-003-01-7,YM-298198,BRD-K59650319,glutamate receptor antagonist,GRM1
BRD-K59753853-001-01-5,MDL-29951,MDL 29951,glutamate receptor antagonist,FBP1
BRD-K59851896-001-02-4,NA,calycanthine,GABA release inhibitor,NA
BRD-K59983611-001-05-2,sulfabenzamide,sulfabenzamide,bacterial antifolate,
BRD-K60174629-001-02-2,NA,Z-prolyl-prolinal,prolyl endopeptidase inhibitor,PREP
BRD-K60184833-001-02-3,NA,tyrphostin 46,tyrosine kinase inhibitor,EGFR
BRD-K60230970-001-04-3,MG-132,MG-132,proteasome inhibitor,PSMB1
